Country Name,Year,Indicator Name,Value
"Congo, Rep.",2012,"Repeaters, primary, female (% of female enrollment)",20.92145
"Congo, Rep.",2011,"Repeaters, primary, female (% of female enrollment)",17.96675
"Congo, Rep.",2010,"Repeaters, primary, female (% of female enrollment)",18.41952
"Congo, Rep.",2009,"Repeaters, primary, female (% of female enrollment)",18.74102
"Congo, Rep.",2008,"Repeaters, primary, female (% of female enrollment)",21.52317
"Congo, Rep.",2007,"Repeaters, primary, female (% of female enrollment)",20.93692
"Congo, Rep.",2006,"Repeaters, primary, female (% of female enrollment)",20.93691
"Congo, Rep.",2005,"Repeaters, primary, female (% of female enrollment)",23.11565
"Congo, Rep.",2004,"Repeaters, primary, female (% of female enrollment)",23.9094
"Congo, Rep.",2003,"Repeaters, primary, female (% of female enrollment)",27.17869
"Congo, Rep.",2002,"Repeaters, primary, female (% of female enrollment)",24.38775
"Congo, Rep.",2001,"Repeaters, primary, female (% of female enrollment)",24.04016
"Congo, Rep.",2000,"Repeaters, primary, female (% of female enrollment)",26.72443
"Congo, Rep.",1999,"Repeaters, primary, female (% of female enrollment)",38.19295
"Congo, Rep.",1996,"Repeaters, primary, female (% of female enrollment)",31.6038
"Congo, Rep.",1994,"Repeaters, primary, female (% of female enrollment)",34.68253
"Congo, Rep.",1993,"Repeaters, primary, female (% of female enrollment)",33.95043
"Congo, Rep.",1992,"Repeaters, primary, female (% of female enrollment)",31.7292
"Congo, Rep.",1990,"Repeaters, primary, female (% of female enrollment)",38.09336
"Congo, Rep.",1989,"Repeaters, primary, female (% of female enrollment)",34.31414
"Congo, Rep.",1988,"Repeaters, primary, female (% of female enrollment)",29.58489
"Congo, Rep.",1987,"Repeaters, primary, female (% of female enrollment)",30.83229
"Congo, Rep.",1986,"Repeaters, primary, female (% of female enrollment)",29.06406
"Congo, Rep.",1985,"Repeaters, primary, female (% of female enrollment)",32.01797
"Congo, Rep.",1984,"Repeaters, primary, female (% of female enrollment)",31.06046
"Congo, Rep.",1983,"Repeaters, primary, female (% of female enrollment)",29.75602
"Congo, Rep.",1982,"Repeaters, primary, female (% of female enrollment)",27.2871
"Congo, Rep.",1981,"Repeaters, primary, female (% of female enrollment)",25.22356
"Congo, Rep.",1980,"Repeaters, primary, female (% of female enrollment)",24.51837
"Congo, Rep.",1979,"Repeaters, primary, female (% of female enrollment)",24.57212
"Congo, Rep.",1978,"Repeaters, primary, female (% of female enrollment)",24.34955
"Congo, Rep.",1977,"Repeaters, primary, female (% of female enrollment)",24.34761
"Congo, Rep.",1976,"Repeaters, primary, female (% of female enrollment)",25.55829
"Congo, Rep.",1975,"Repeaters, primary, female (% of female enrollment)",28.52698
"Congo, Rep.",1974,"Repeaters, primary, female (% of female enrollment)",30.55378
"Congo, Rep.",1973,"Repeaters, primary, female (% of female enrollment)",29.88408
"Congo, Rep.",1972,"Repeaters, primary, female (% of female enrollment)",31.74897
"Congo, Rep.",2012,"Repeaters, primary, male (% of male enrollment)",24.77563
"Congo, Rep.",2011,"Repeaters, primary, male (% of male enrollment)",19.40558
"Congo, Rep.",2010,"Repeaters, primary, male (% of male enrollment)",19.7011
"Congo, Rep.",2009,"Repeaters, primary, male (% of male enrollment)",20.51257
"Congo, Rep.",2008,"Repeaters, primary, male (% of male enrollment)",23.2166
"Congo, Rep.",2007,"Repeaters, primary, male (% of male enrollment)",21.47834
"Congo, Rep.",2006,"Repeaters, primary, male (% of male enrollment)",21.47057
"Congo, Rep.",2005,"Repeaters, primary, male (% of male enrollment)",24.71084
"Congo, Rep.",2004,"Repeaters, primary, male (% of male enrollment)",25.13263
"Congo, Rep.",2003,"Repeaters, primary, male (% of male enrollment)",28.41356
"Congo, Rep.",2002,"Repeaters, primary, male (% of male enrollment)",25.09964
"Congo, Rep.",2001,"Repeaters, primary, male (% of male enrollment)",25.73139
"Congo, Rep.",2000,"Repeaters, primary, male (% of male enrollment)",27.68104
"Congo, Rep.",1999,"Repeaters, primary, male (% of male enrollment)",39.96583
"Congo, Rep.",1996,"Repeaters, primary, male (% of male enrollment)",34.71913
"Congo, Rep.",1994,"Repeaters, primary, male (% of male enrollment)",36.55567
"Congo, Rep.",1993,"Repeaters, primary, male (% of male enrollment)",34.10978
"Congo, Rep.",1992,"Repeaters, primary, male (% of male enrollment)",33.77387
"Congo, Rep.",1990,"Repeaters, primary, male (% of male enrollment)",38.90709
"Congo, Rep.",1989,"Repeaters, primary, male (% of male enrollment)",35.33591
"Congo, Rep.",1988,"Repeaters, primary, male (% of male enrollment)",31.98704
"Congo, Rep.",1987,"Repeaters, primary, male (% of male enrollment)",31.73908
"Congo, Rep.",1986,"Repeaters, primary, male (% of male enrollment)",30.60149
"Congo, Rep.",1985,"Repeaters, primary, male (% of male enrollment)",34.31913
"Congo, Rep.",1984,"Repeaters, primary, male (% of male enrollment)",32.35739
"Congo, Rep.",1983,"Repeaters, primary, male (% of male enrollment)",31.71287
"Congo, Rep.",1982,"Repeaters, primary, male (% of male enrollment)",28.45654
"Congo, Rep.",1981,"Repeaters, primary, male (% of male enrollment)",26.16134
"Congo, Rep.",1980,"Repeaters, primary, male (% of male enrollment)",25.13242
"Congo, Rep.",1979,"Repeaters, primary, male (% of male enrollment)",24.86642
"Congo, Rep.",1978,"Repeaters, primary, male (% of male enrollment)",24.8636
"Congo, Rep.",1977,"Repeaters, primary, male (% of male enrollment)",25.03518
"Congo, Rep.",1976,"Repeaters, primary, male (% of male enrollment)",26.66065
"Congo, Rep.",1975,"Repeaters, primary, male (% of male enrollment)",29.68636
"Congo, Rep.",1974,"Repeaters, primary, male (% of male enrollment)",30.92216
"Congo, Rep.",1973,"Repeaters, primary, male (% of male enrollment)",30.77039
"Congo, Rep.",1972,"Repeaters, primary, male (% of male enrollment)",32.45162
